treeID,treeRatio_branch2height,treeRatio_CL_dim,treeAvg_crown_radius,treeDbh,treeRatio_dbh_th,treeRatio_dbh_volume,treeRatio_dbh_minsrad,treeStem_taper,treeStem_length,treeRatio_slength_theight,treeAngleX,treeAngleY,treeAngleZ,treeStem_volume,treeVolume8010,treeRatio_maxcdim_height,treeRatio_clength_volume,treeRatio_volume_area ,treeRatio_volume_height,treeRatio_volume_diameter,treeCrown_start_height  ,treeRatio_csh_th,treeLcl,treeRatio_lcl_th,treeCd_xy,treeCcd_xy,treeCd_xz,treeCcd_xz,treeCd_yz,treeCcd_yz,treeRatio_lcl_cdxy,treeRatio_cdxy_th,treeRatio_cdxy_ccdxy,treeRatio_cdxz_ccdxz,treeRatio_cdyz_ccdyz,branchLength,branchRadius,branchVolume,branchAxisX,branchAxisY,branchAxisZ,branchAngleX,branchAngleY,branchAngleZ,branchAngle2parent,branchRatio_2p_length,branchRatio_2p_volume,branchRatio_length2volume,branchRatio_2p_radius,branchAvg_dist_child ,cylinderID,cylinderPosInBranch,cylinderParentCylID,cylinderChildCyID,cylinderStartX,cylinderStartY,cylinderStartZ,cylinderAxisX,cylinderAxisY,cylinderAxisZ,cylinderLength,cylinderRadius,cylinderAngleX,cylinderAngleY,cylinderAngleZ,cylinderAngle2parent,cylinderRatio_length2bl,cylinderRatio_radius2bl,cylinderVolume,cylinderRatio_volume2pv
2023-01-09_17_2_18_000000,77.13634,1.441709577,2.934722222,0.220692606,0.019333082,8.02E-05,0,0.0627,1.9,0.166443527,0.955316618,0.955316618,0.955316618,0.10466087,46.93494762,0.578172252,0.541855182,80.4967335,240.9824574,416.8004545,1.9,0.166443527,9.51528321,0.833556473,5.51,5.88,11.41528321,5.51,11.41528321,5.88,1.726911653,0.482686229,0.93707483,2.07173924,1.941374696,10.247388,0.051184067,0.167508243,-0.063871405,0.050507817,0.996679188,1.63471124,1.520267011,0.081518727,0,0,0,61.17542526,0,5.069568256,1,1,0,2,-0.76967,0.8916,-5.9829,0.014327,0.041108,0.99905,0.65873,0.11913,1.556468808,1.529676659,0.043546946,0,2.762781529,0.499643501,0.029369706,0
2023-01-09_17_2_18_000000,77.13634,1.441709577,2.934722222,0.220692606,0.019333082,8.02E-05,0,0.0627,1.9,0.166443527,0.955316618,0.955316618,0.955316618,0.10466087,46.93494762,0.578172252,0.541855182,80.4967335,240.9824574,416.8004545,1.9,0.166443527,9.51528321,0.833556473,5.51,5.88,11.41528321,5.51,11.41528321,5.88,1.726911653,0.482686229,0.93707483,2.07173924,1.941374696,10.247388,0.051184067,0.167508243,-0.063871405,0.050507817,0.996679188,1.63471124,1.520267011,0.081518727,0,0,0,61.17542526,0,5.069568256,2,2,1,3,-0.75097,0.91301,-5.3249,0.037064,0.028679,0.9989,0.17397,0.11289,1.533723788,1.542113357,0.046881131,0.025913577,0.729648115,0.473472298,0.006965226,0.237156801
2023-01-09_17_2_18_000000,77.13634,1.441709577,2.934722222,0.220692606,0.019333082,8.02E-05,0,0.0627,1.9,0.166443527,0.955316618,0.955316618,0.955316618,0.10466087,46.93494762,0.578172252,0.541855182,80.4967335,240.9824574,416.8004545,1.9,0.166443527,9.51528321,0.833556473,5.51,5.88,11.41528321,5.51,11.41528321,5.88,1.726911653,0.482686229,0.93707483,2.07173924,1.941374696,10.247388,0.051184067,0.167508243,-0.063871405,0.050507817,0.996679188,1.63471124,1.520267011,0.081518727,0,0,0,61.17542526,0,5.069568256,3,3,2,4,-0.74304,0.91745,-5.1512,0.048149,0.010185,0.99879,0.18836,0.11147,1.522628788,1.560611169,0.049234235,0.021562355,0.790001258,0.467516672,0.007352831,1.055648596
2023-01-09_17_2_18_000000,77.13634,1.441709577,2.934722222,0.220692606,0.019333082,8.02E-05,0,0.0627,1.9,0.166443527,0.955316618,0.955316618,0.955316618,0.10466087,46.93494762,0.578172252,0.541855182,80.4967335,240.9824574,416.8004545,1.9,0.166443527,9.51528321,0.833556473,5.51,5.88,11.41528321,5.51,11.41528321,5.88,1.726911653,0.482686229,0.93707483,2.07173924,1.941374696,10.247388,0.051184067,0.167508243,-0.063871405,0.050507817,0.996679188,1.63471124,1.520267011,0.081518727,0,0,0,61.17542526,0,5.069568256,4,4,3,5,-0.73293,0.91842,-4.9631,0.051778,0.0077054,0.99863,0.33122,0.11017,1.51899522,1.563090859,0.052372084,0.00439814,1.389170826,0.462064338,0.012629703,1.717665401
2023-01-09_17_2_18_000000,77.13634,1.441709577,2.934722222,0.220692606,0.019333082,8.02E-05,0,0.0627,1.9,0.166443527,0.955316618,0.955316618,0.955316618,0.10466087,46.93494762,0.578172252,0.541855182,80.4967335,240.9824574,416.8004545,1.9,0.166443527,9.51528321,0.833556473,5.51,5.88,11.41528321,5.51,11.41528321,5.88,1.726911653,0.482686229,0.93707483,2.07173924,1.941374696,10.247388,0.051184067,0.167508243,-0.063871405,0.050507817,0.996679188,1.63471124,1.520267011,0.081518727,0,0,0,61.17542526,0,5.069568256,5,5,4,6,-0.71514,0.92095,-4.6324,0.064763,0.0061098,0.99788,0.22472,0.1094,1.505987842,1.564686477,0.065096657,0.013104246,0.942498847,0.458834878,0.008449407,0.669010784
2023-01-09_17_2_18_000000,77.13634,1.441709577,2.934722222,0.220692606,0.019333082,8.02E-05,0,0.0627,1.9,0.166443527,0.955316618,0.955316618,0.955316618,0.10466087,46.93494762,0.578172252,0.541855182,80.4967335,240.9824574,416.8004545,1.9,0.166443527,9.51528321,0.833556473,5.51,5.88,11.41528321,5.51,11.41528321,5.88,1.726911653,0.482686229,0.93707483,2.07173924,1.941374696,10.247388,0.051184067,0.167508243,-0.063871405,0.050507817,0.996679188,1.63471124,1.520267011,0.081518727,0,0,0,61.17542526,0,5.069568256,6,6,5,7,-0.71037,0.92495,-4.4069,0.13572,0.010557,0.99069,0.30074,0.11571,1.434656042,1.56023912,0.136554095,0.071474184,1.261334564,0.485299669,0.012649777,1.497120001
2023-01-09_17_2_18_000000,77.13634,1.441709577,2.934722222,0.220692606,0.019333082,8.02E-05,0,0.0627,1.9,0.166443527,0.955316618,0.955316618,0.955316618,0.10466087,46.93494762,0.578172252,0.541855182,80.4967335,240.9824574,416.8004545,1.9,0.166443527,9.51528321,0.833556473,5.51,5.88,11.41528321,5.51,11.41528321,5.88,1.726911653,0.482686229,0.93707483,2.07173924,1.941374696,10.247388,0.051184067,0.167508243,-0.063871405,0.050507817,0.996679188,1.63471124,1.520267011,0.081518727,0,0,0,61.17542526,0,5.069568256,7,7,6,8,-0.62147,0.91971,-4.1031,-0.10949,0.054992,0.99247,0.7372,0.10846,1.680505788,1.515776817,0.122832303,0.249858916,3.091892799,0.454892421,0.027244221,2.153731422
2023-01-09_17_2_18_000000,77.13634,1.441709577,2.934722222,0.220692606,0.019333082,8.02E-05,0,0.0627,1.9,0.166443527,0.955316618,0.955316618,0.955316618,0.10466087,46.93494762,0.578172252,0.541855182,80.4967335,240.9824574,416.8004545,1.9,0.166443527,9.51528321,0.833556473,5.51,5.88,11.41528321,5.51,11.41528321,5.88,1.726911653,0.482686229,0.93707483,2.07173924,1.941374696,10.247388,0.051184067,0.167508243,-0.063871405,0.050507817,0.996679188,1.63471124,1.520267011,0.081518727,0,0,0,61.17542526,0,5.069568256,8,8,7,9,-0.65881,0.93902,-3.3669,-0.084671,0.043008,0.99548,0.2598,0.10068,1.655568855,1.527775042,0.095111078,0.027725533,1.089627983,0.422262299,0.008273236,0.303669402
2023-01-09_17_2_18_000000,77.13634,1.441709577,2.934722222,0.220692606,0.019333082,8.02E-05,0,0.0627,1.9,0.166443527,0.955316618,0.955316618,0.955316618,0.10466087,46.93494762,0.578172252,0.541855182,80.4967335,240.9824574,416.8004545,1.9,0.166443527,9.51528321,0.833556473,5.51,5.88,11.41528321,5.51,11.41528321,5.88,1.726911653,0.482686229,0.93707483,2.07173924,1.941374696,10.247388,0.051184067,0.167508243,-0.063871405,0.050507817,0.996679188,1.63471124,1.520267011,0.081518727,0,0,0,61.17542526,0,5.069568256,9,9,8,10,-0.67211,0.95175,-3.1083,-0.0095827,0.045155,0.99893,0.16258,0.10111,1.580379212,1.525625786,0.046177208,0.075216065,0.681877281,0.424065764,0.005221619,0.631145921
2023-01-09_17_2_18_000000,77.13634,1.441709577,2.934722222,0.220692606,0.019333082,8.02E-05,0,0.0627,1.9,0.166443527,0.955316618,0.955316618,0.955316618,0.10466087,46.93494762,0.578172252,0.541855182,80.4967335,240.9824574,416.8004545,1.9,0.166443527,9.51528321,0.833556473,5.51,5.88,11.41528321,5.51,11.41528321,5.88,1.726911653,0.482686229,0.93707483,2.07173924,1.941374696,10.247388,0.051184067,0.167508243,-0.063871405,0.050507817,0.996679188,1.63471124,1.520267011,0.081518727,0,0,0,61.17542526,0,5.069568256,10,10,9,11,-0.6374,0.95142,-2.948,0.10344,0.22035,0.96992,0.18036,0.077583,1.467170903,1.348622912,0.245891912,0.210888091,0.756448434,0.3253911,0.003410541,0.65315766
